timestamp,line_id,equipment_id,sensor_type,value,unit,status
2026-06-15T08:03:50+00:00,LINE-A01,WELD-001,vibration,1.74,mm/s,normal
2026-06-15T08:03:55+00:00,LINE-B02,OVEN-001,vibration,0.84,mm/s,normal
2026-06-15T08:04:00+00:00,LINE-C01,ROBOT-001,vibration,1.49,mm/s,normal
2026-06-15T08:04:05+00:00,LINE-A01,PRESS-001,temperature,48.71,°C,normal
2026-06-15T08:04:10+00:00,LINE-B02,WELD-001,pressure,110.03,kPa,normal
2026-06-15T08:04:15+00:00,LINE-A02,PRESS-002,temperature,80.8,°C,warning
2026-06-15T08:04:20+00:00,LINE-B02,PRESS-002,pressure,272.36,kPa,normal
2026-06-15T08:04:25+00:00,LINE-C01,PRESS-002,pressure,218.9,kPa,normal
2026-06-15T08:04:30+00:00,LINE-B01,OVEN-001,vibration,1.17,mm/s,normal
2026-06-15T08:04:35+00:00,LINE-B01,CONVEYOR-001,temperature,52.57,°C,normal
2026-06-15T08:04:40+00:00,LINE-B01,PRESS-002,temperature,52.0,°C,normal
2026-06-15T08:04:45+00:00,LINE-A01,PRESS-002,temperature,79.94,°C,normal
2026-06-15T08:04:50+00:00,LINE-B01,PRESS-002,pressure,153.04,kPa,normal
2026-06-15T08:04:55+00:00,LINE-C01,OVEN-001,temperature,46.31,°C,normal
2026-06-15T08:05:00+00:00,LINE-C01,PRESS-001,pressure,561.42,kPa,alarm
2026-06-15T08:05:05+00:00,LINE-A01,WELD-001,pressure,159.88,kPa,normal
2026-06-15T08:05:10+00:00,LINE-C01,WELD-001,vibration,0.3,mm/s,normal
2026-06-15T08:05:15+00:00,LINE-B01,WELD-002,vibration,0.5,mm/s,normal
2026-06-15T08:05:20+00:00,LINE-B02,OVEN-001,pressure,152.8,kPa,normal
2026-06-15T08:05:25+00:00,LINE-B01,PRESS-001,temperature,56.94,°C,normal
2026-06-15T08:05:30+00:00,LINE-B01,WELD-001,temperature,45.23,°C,normal
2026-06-15T08:05:35+00:00,LINE-C01,PRESS-001,pressure,241.13,kPa,normal
2026-06-15T08:05:40+00:00,LINE-A02,PRESS-001,temperature,75.32,°C,normal
2026-06-15T08:05:45+00:00,LINE-A02,PRESS-001,vibration,0.38,mm/s,normal
2026-06-15T08:05:50+00:00,LINE-A01,OVEN-002,vibration,1.87,mm/s,normal
2026-06-15T08:05:55+00:00,LINE-B01,CONVEYOR-001,temperature,66.68,°C,normal
2026-06-15T08:06:00+00:00,LINE-A02,WELD-001,pressure,285.15,kPa,normal
2026-06-15T08:06:05+00:00,LINE-B01,CONVEYOR-001,temperature,40.99,°C,normal
2026-06-15T08:06:10+00:00,LINE-B01,WELD-001,pressure,262.15,kPa,normal
2026-06-15T08:06:15+00:00,LINE-B02,WELD-002,pressure,274.43,kPa,normal
2026-06-15T08:06:20+00:00,LINE-B01,WELD-002,temperature,58.41,°C,normal
2026-06-15T08:06:25+00:00,LINE-B01,OVEN-001,temperature,47.73,°C,normal
2026-06-15T08:06:30+00:00,LINE-C01,CONVEYOR-001,temperature,82.79,°C,warning
2026-06-15T08:06:35+00:00,LINE-A01,PRESS-002,pressure,507.24,kPa,alarm
2026-06-15T08:06:40+00:00,LINE-B01,PRESS-001,vibration,1.93,mm/s,normal
2026-06-15T08:06:45+00:00,LINE-B01,CONVEYOR-001,temperature,53.83,°C,normal
2026-06-15T08:06:50+00:00,LINE-C01,WELD-002,pressure,423.13,kPa,alarm
2026-06-15T08:06:55+00:00,LINE-C01,WELD-002,vibration,0.93,mm/s,normal
2026-06-15T08:07:00+00:00,LINE-B01,OVEN-002,vibration,1.9,mm/s,normal
2026-06-15T08:07:05+00:00,LINE-B01,OVEN-001,pressure,243.95,kPa,normal
2026-06-15T08:07:10+00:00,LINE-B01,WELD-001,pressure,180.48,kPa,normal
2026-06-15T08:07:15+00:00,LINE-A02,OVEN-001,temperature,77.61,°C,normal
2026-06-15T08:07:20+00:00,LINE-B01,WELD-002,vibration,0.1,mm/s,normal
2026-06-15T08:07:25+00:00,LINE-B01,ROBOT-001,vibration,1.25,mm/s,normal
2026-06-15T08:07:30+00:00,LINE-B02,WELD-001,vibration,0.51,mm/s,normal
2026-06-15T08:07:35+00:00,LINE-C01,OVEN-002,pressure,203.09,kPa,normal
2026-06-15T08:07:40+00:00,LINE-B01,WELD-002,temperature,70.05,°C,normal
2026-06-15T08:07:45+00:00,LINE-B02,PRESS-002,temperature,41.85,°C,normal
2026-06-15T08:07:50+00:00,LINE-A02,CONVEYOR-001,vibration,1.3,mm/s,normal
2026-06-15T08:07:55+00:00,LINE-A01,PRESS-002,vibration,0.38,mm/s,normal
2026-06-15T08:08:00+00:00,LINE-C01,ROBOT-001,vibration,1.63,mm/s,normal
2026-06-15T08:08:05+00:00,LINE-A01,ROBOT-001,temperature,76.7,°C,normal
2026-06-15T08:08:10+00:00,LINE-C01,OVEN-002,temperature,66.7,°C,normal
2026-06-15T08:08:15+00:00,LINE-C01,CONVEYOR-001,vibration,1.47,mm/s,normal
2026-06-15T08:08:20+00:00,LINE-B02,ROBOT-001,pressure,131.83,kPa,normal
2026-06-15T08:08:25+00:00,LINE-B01,ROBOT-001,vibration,1.7,mm/s,normal
2026-06-15T08:08:30+00:00,LINE-B01,WELD-002,pressure,187.97,kPa,normal
2026-06-15T08:08:35+00:00,LINE-A01,WELD-001,vibration,1.8,mm/s,normal
2026-06-15T08:08:40+00:00,LINE-A02,PRESS-002,temperature,67.76,°C,normal
2026-06-15T08:08:45+00:00,LINE-B02,PRESS-001,vibration,1.13,mm/s,normal
2026-06-15T08:08:50+00:00,LINE-C01,PRESS-001,temperature,55.58,°C,normal
2026-06-15T08:08:55+00:00,LINE-B01,OVEN-001,pressure,101.18,kPa,normal
2026-06-15T08:09:00+00:00,LINE-B02,WELD-002,vibration,1.91,mm/s,normal
2026-06-15T08:09:05+00:00,LINE-A01,CONVEYOR-001,vibration,0.93,mm/s,normal
2026-06-15T08:09:10+00:00,LINE-A02,ROBOT-001,vibration,1.62,mm/s,normal
2026-06-15T08:09:15+00:00,LINE-B02,PRESS-001,temperature,106.02,°C,alarm
2026-06-15T08:09:20+00:00,LINE-B02,WELD-001,temperature,45.43,°C,normal
2026-06-15T08:09:25+00:00,LINE-B02,OVEN-002,temperature,53.09,°C,normal
2026-06-15T08:09:30+00:00,LINE-B02,OVEN-001,vibration,0.82,mm/s,normal
2026-06-15T08:09:35+00:00,LINE-A01,OVEN-002,temperature,69.96,°C,normal
2026-06-15T08:09:40+00:00,LINE-A01,PRESS-001,temperature,71.25,°C,normal
2026-06-15T08:09:45+00:00,LINE-A02,WELD-002,temperature,40.82,°C,normal
2026-06-15T08:09:50+00:00,LINE-A02,ROBOT-001,temperature,44.58,°C,normal
2026-06-15T08:09:55+00:00,LINE-C01,PRESS-002,pressure,173.78,kPa,normal
2026-06-15T08:10:00+00:00,LINE-A01,OVEN-001,temperature,81.08,°C,warning
2026-06-15T08:10:05+00:00,LINE-B02,WELD-002,pressure,291.63,kPa,normal
2026-06-15T08:10:10+00:00,LINE-A02,PRESS-002,temperature,73.22,°C,normal
2026-06-15T08:10:15+00:00,LINE-C01,PRESS-002,pressure,270.06,kPa,normal
2026-06-15T08:10:20+00:00,LINE-B02,OVEN-002,pressure,169.44,kPa,normal
2026-06-15T08:10:25+00:00,LINE-B02,ROBOT-001,temperature,53.65,°C,normal
2026-06-15T08:10:30+00:00,LINE-B02,WELD-001,temperature,54.49,°C,normal
2026-06-15T08:10:35+00:00,LINE-B01,ROBOT-001,vibration,1.09,mm/s,normal
2026-06-15T08:10:40+00:00,LINE-B01,OVEN-002,vibration,1.49,mm/s,normal
2026-06-15T08:10:45+00:00,LINE-B02,WELD-002,temperature,43.47,°C,normal
2026-06-15T08:10:50+00:00,LINE-B01,PRESS-001,vibration,1.37,mm/s,normal
2026-06-15T08:10:55+00:00,LINE-A02,OVEN-002,vibration,0.45,mm/s,normal
2026-06-15T08:11:00+00:00,LINE-B01,PRESS-001,vibration,1.77,mm/s,normal
2026-06-15T08:11:05+00:00,LINE-B02,ROBOT-001,pressure,308.56,kPa,warning
2026-06-15T08:11:10+00:00,LINE-B02,ROBOT-001,pressure,238.12,kPa,normal
2026-06-15T08:11:15+00:00,LINE-A02,OVEN-001,temperature,48.86,°C,normal
2026-06-15T08:11:20+00:00,LINE-C01,OVEN-002,pressure,194.65,kPa,normal
2026-06-15T08:11:25+00:00,LINE-B01,ROBOT-001,vibration,6.2,mm/s,alarm
2026-06-15T08:11:30+00:00,LINE-A02,OVEN-002,vibration,0.54,mm/s,normal
2026-06-15T08:11:35+00:00,LINE-A02,WELD-002,temperature,78.04,°C,normal
2026-06-15T08:11:40+00:00,LINE-C01,OVEN-001,temperature,51.06,°C,normal
2026-06-15T08:11:45+00:00,LINE-B01,WELD-001,temperature,51.85,°C,normal
2026-06-15T08:11:50+00:00,LINE-B01,PRESS-001,vibration,1.11,mm/s,normal
2026-06-15T08:11:55+00:00,LINE-A02,ROBOT-001,temperature,67.9,°C,normal
2026-06-15T08:12:00+00:00,LINE-B02,ROBOT-001,temperature,62.96,°C,normal
2026-06-15T08:12:05+00:00,LINE-B01,ROBOT-001,vibration,1.93,mm/s,normal
2026-06-15T08:12:10+00:00,LINE-A01,PRESS-001,temperature,56.03,°C,normal
2026-06-15T08:12:15+00:00,LINE-B01,PRESS-002,temperature,62.51,°C,normal
2026-06-15T08:12:20+00:00,LINE-C01,WELD-002,temperature,70.58,°C,normal
2026-06-15T08:12:25+00:00,LINE-B01,CONVEYOR-001,pressure,281.7,kPa,normal
2026-06-15T08:12:30+00:00,LINE-A01,WELD-002,vibration,0.21,mm/s,normal
2026-06-15T08:12:35+00:00,LINE-A02,WELD-002,pressure,232.09,kPa,normal
2026-06-15T08:12:40+00:00,LINE-B02,ROBOT-001,temperature,46.26,°C,normal
2026-06-15T08:12:45+00:00,LINE-A02,OVEN-001,pressure,158.25,kPa,normal
2026-06-15T08:12:50+00:00,LINE-A01,WELD-002,pressure,271.92,kPa,normal
2026-06-15T08:12:55+00:00,LINE-A02,CONVEYOR-001,vibration,1.29,mm/s,normal
2026-06-15T08:13:00+00:00,LINE-B01,WELD-001,temperature,65.91,°C,normal
2026-06-15T08:13:05+00:00,LINE-C01,OVEN-001,temperature,71.71,°C,normal
2026-06-15T08:13:10+00:00,LINE-B02,OVEN-001,vibration,1.41,mm/s,normal
2026-06-15T08:13:15+00:00,LINE-C01,PRESS-001,pressure,187.55,kPa,normal
2026-06-15T08:13:20+00:00,LINE-A01,PRESS-002,vibration,1.25,mm/s,normal
2026-06-15T08:13:25+00:00,LINE-C01,PRESS-001,temperature,88.36,°C,warning
2026-06-15T08:13:30+00:00,LINE-A02,ROBOT-001,pressure,215.25,kPa,normal
2026-06-15T08:13:35+00:00,LINE-A02,CONVEYOR-001,pressure,283.21,kPa,normal
2026-06-15T08:13:40+00:00,LINE-B02,OVEN-002,pressure,293.81,kPa,normal
2026-06-15T08:13:45+00:00,LINE-A02,OVEN-002,vibration,1.37,mm/s,normal
2026-06-15T08:13:50+00:00,LINE-B02,PRESS-001,vibration,0.65,mm/s,normal
2026-06-15T08:13:55+00:00,LINE-A01,CONVEYOR-001,vibration,0.58,mm/s,normal
2026-06-15T08:14:00+00:00,LINE-C01,ROBOT-001,pressure,100.23,kPa,normal
2026-06-15T08:14:05+00:00,LINE-C01,ROBOT-001,vibration,1.09,mm/s,normal
2026-06-15T08:14:10+00:00,LINE-B01,WELD-001,pressure,110.32,kPa,normal
2026-06-15T08:14:15+00:00,LINE-A01,PRESS-001,vibration,1.43,mm/s,normal
2026-06-15T08:14:20+00:00,LINE-A02,OVEN-001,pressure,147.86,kPa,normal
2026-06-15T08:14:25+00:00,LINE-A02,PRESS-002,pressure,181.6,kPa,normal
2026-06-15T08:14:30+00:00,LINE-A02,ROBOT-001,vibration,3.3,mm/s,warning
2026-06-15T08:14:35+00:00,LINE-B02,ROBOT-001,pressure,241.08,kPa,normal
2026-06-15T08:14:40+00:00,LINE-B02,WELD-002,vibration,1.15,mm/s,normal
2026-06-15T08:14:45+00:00,LINE-A01,OVEN-001,pressure,275.87,kPa,normal
2026-06-15T08:14:50+00:00,LINE-B01,PRESS-001,vibration,1.6,mm/s,normal
2026-06-15T08:14:55+00:00,LINE-C01,ROBOT-001,vibration,1.69,mm/s,normal
2026-06-15T08:15:00+00:00,LINE-B01,CONVEYOR-001,temperature,59.37,°C,normal
2026-06-15T08:15:05+00:00,LINE-A02,CONVEYOR-001,vibration,3.74,mm/s,warning
2026-06-15T08:15:10+00:00,LINE-B01,ROBOT-001,temperature,56.43,°C,normal
2026-06-15T08:15:15+00:00,LINE-A02,ROBOT-001,pressure,338.12,kPa,warning
2026-06-15T08:15:20+00:00,LINE-B01,PRESS-002,temperature,78.61,°C,normal
2026-06-15T08:15:25+00:00,LINE-A01,WELD-001,vibration,1.83,mm/s,normal
2026-06-15T08:15:30+00:00,LINE-A01,ROBOT-001,vibration,1.94,mm/s,normal
2026-06-15T08:15:35+00:00,LINE-A01,OVEN-002,vibration,1.42,mm/s,normal
2026-06-15T08:15:40+00:00,LINE-B01,ROBOT-001,pressure,176.0,kPa,normal
2026-06-15T08:15:45+00:00,LINE-B01,WELD-002,pressure,113.68,kPa,normal
2026-06-15T08:15:50+00:00,LINE-A01,ROBOT-001,pressure,295.67,kPa,normal
2026-06-15T08:15:55+00:00,LINE-A01,OVEN-002,temperature,76.14,°C,normal
2026-06-15T08:16:00+00:00,LINE-A02,WELD-002,temperature,54.99,°C,normal
2026-06-15T08:16:05+00:00,LINE-A02,WELD-001,pressure,236.36,kPa,normal
2026-06-15T08:16:10+00:00,LINE-C01,WELD-002,temperature,74.83,°C,normal
2026-06-15T08:16:15+00:00,LINE-B02,OVEN-001,vibration,2.29,mm/s,warning
2026-06-15T08:16:20+00:00,LINE-B02,OVEN-001,vibration,0.12,mm/s,normal
2026-06-15T08:16:25+00:00,LINE-B01,OVEN-001,pressure,114.77,kPa,normal
2026-06-15T08:16:30+00:00,LINE-B02,OVEN-001,pressure,369.03,kPa,warning
2026-06-15T08:16:35+00:00,LINE-A01,WELD-002,temperature,115.6,°C,alarm
2026-06-15T08:16:40+00:00,LINE-B01,PRESS-001,vibration,1.19,mm/s,normal
2026-06-15T08:16:45+00:00,LINE-A01,ROBOT-001,pressure,101.62,kPa,normal
2026-06-15T08:16:50+00:00,LINE-B01,WELD-002,vibration,0.54,mm/s,normal
2026-06-15T08:16:55+00:00,LINE-A02,PRESS-002,pressure,150.13,kPa,normal
2026-06-15T08:17:00+00:00,LINE-B02,PRESS-001,pressure,161.79,kPa,normal
2026-06-15T08:17:05+00:00,LINE-B01,OVEN-002,pressure,126.28,kPa,normal
2026-06-15T08:17:10+00:00,LINE-C01,OVEN-002,pressure,140.16,kPa,normal
2026-06-15T08:17:15+00:00,LINE-A02,OVEN-001,pressure,154.51,kPa,normal
2026-06-15T08:17:20+00:00,LINE-B01,PRESS-002,vibration,2.59,mm/s,warning
2026-06-15T08:17:25+00:00,LINE-A02,CONVEYOR-001,vibration,2.28,mm/s,warning
2026-06-15T08:17:30+00:00,LINE-A01,OVEN-001,pressure,258.14,kPa,normal
2026-06-15T08:17:35+00:00,LINE-B01,CONVEYOR-001,pressure,173.72,kPa,normal
2026-06-15T08:17:40+00:00,LINE-A02,ROBOT-001,pressure,310.83,kPa,warning
2026-06-15T08:17:45+00:00,LINE-B01,WELD-002,temperature,77.73,°C,normal
2026-06-15T08:17:50+00:00,LINE-B01,CONVEYOR-001,pressure,264.77,kPa,normal
2026-06-15T08:17:55+00:00,LINE-B01,ROBOT-001,temperature,77.85,°C,normal
2026-06-15T08:18:00+00:00,LINE-A02,CONVEYOR-001,temperature,75.49,°C,normal
2026-06-15T08:18:05+00:00,LINE-C01,CONVEYOR-001,vibration,1.9,mm/s,normal
2026-06-15T08:18:10+00:00,LINE-B02,PRESS-002,pressure,130.9,kPa,normal
2026-06-15T08:18:15+00:00,LINE-B01,PRESS-001,vibration,1.88,mm/s,normal
2026-06-15T08:18:20+00:00,LINE-A02,OVEN-002,pressure,188.68,kPa,normal
2026-06-15T08:18:25+00:00,LINE-B01,PRESS-001,temperature,101.02,°C,alarm
2026-06-15T08:18:30+00:00,LINE-B02,PRESS-002,vibration,1.94,mm/s,normal
2026-06-15T08:18:35+00:00,LINE-A01,PRESS-001,pressure,227.9,kPa,normal
2026-06-15T08:18:40+00:00,LINE-C01,WELD-002,vibration,0.34,mm/s,normal
2026-06-15T08:18:45+00:00,LINE-C01,WELD-002,temperature,62.17,°C,normal
2026-06-15T08:18:50+00:00,LINE-C01,PRESS-001,temperature,45.9,°C,normal
2026-06-15T08:18:55+00:00,LINE-A02,OVEN-001,vibration,0.37,mm/s,normal
2026-06-15T08:19:00+00:00,LINE-A02,PRESS-001,temperature,74.66,°C,normal
2026-06-15T08:19:05+00:00,LINE-B01,PRESS-001,vibration,0.55,mm/s,normal
2026-06-15T08:19:10+00:00,LINE-B02,PRESS-002,temperature,45.07,°C,normal
2026-06-15T08:19:15+00:00,LINE-B01,PRESS-002,pressure,189.66,kPa,normal
2026-06-15T08:19:20+00:00,LINE-A01,OVEN-001,vibration,1.9,mm/s,normal
2026-06-15T08:19:25+00:00,LINE-B02,CONVEYOR-001,vibration,0.16,mm/s,normal
2026-06-15T08:19:30+00:00,LINE-B02,PRESS-002,vibration,1.03,mm/s,normal
2026-06-15T08:19:35+00:00,LINE-A02,OVEN-001,temperature,45.93,°C,normal
2026-06-15T08:19:40+00:00,LINE-B01,CONVEYOR-001,pressure,209.67,kPa,normal
2026-06-15T08:19:45+00:00,LINE-C01,CONVEYOR-001,pressure,190.74,kPa,normal
2026-06-15T08:19:50+00:00,LINE-C01,WELD-002,temperature,44.58,°C,normal
2026-06-15T08:19:55+00:00,LINE-B01,ROBOT-001,vibration,0.53,mm/s,normal
2026-06-15T08:20:00+00:00,LINE-B02,OVEN-002,vibration,0.28,mm/s,normal
2026-06-15T08:20:05+00:00,LINE-B02,PRESS-002,pressure,290.72,kPa,normal
2026-06-15T08:20:10+00:00,LINE-A01,OVEN-002,temperature,43.73,°C,normal
2026-06-15T08:20:15+00:00,LINE-C01,OVEN-002,temperature,63.46,°C,normal
2026-06-15T08:20:20+00:00,LINE-B02,PRESS-001,pressure,170.72,kPa,normal
2026-06-15T08:20:25+00:00,LINE-C01,WELD-002,vibration,0.77,mm/s,normal
2026-06-15T08:20:30+00:00,LINE-A01,OVEN-002,temperature,48.97,°C,normal
2026-06-15T08:20:35+00:00,LINE-C01,WELD-002,pressure,252.52,kPa,normal
2026-06-15T08:20:40+00:00,LINE-C01,PRESS-001,vibration,1.95,mm/s,normal
2026-06-15T08:20:45+00:00,LINE-B01,PRESS-001,pressure,382.95,kPa,warning
2026-06-15T08:20:50+00:00,LINE-B01,OVEN-002,temperature,70.5,°C,normal
2026-06-15T08:20:55+00:00,LINE-B02,PRESS-002,temperature,45.73,°C,normal
2026-06-15T08:21:00+00:00,LINE-A01,WELD-002,temperature,78.87,°C,normal
2026-06-15T08:21:05+00:00,LINE-B01,OVEN-001,vibration,0.75,mm/s,normal
2026-06-15T08:21:10+00:00,LINE-C01,PRESS-002,pressure,288.28,kPa,normal
2026-06-15T08:21:15+00:00,LINE-A01,PRESS-002,temperature,70.18,°C,normal
2026-06-15T08:21:20+00:00,LINE-C01,ROBOT-001,vibration,0.91,mm/s,normal
2026-06-15T08:21:25+00:00,LINE-A01,OVEN-002,vibration,1.53,mm/s,normal
2026-06-15T08:21:30+00:00,LINE-C01,ROBOT-001,vibration,1.39,mm/s,normal
2026-06-15T08:21:35+00:00,LINE-B02,PRESS-001,pressure,109.08,kPa,normal
2026-06-15T08:21:40+00:00,LINE-A02,OVEN-001,temperature,77.81,°C,normal
2026-06-15T08:21:45+00:00,LINE-B02,WELD-001,vibration,0.11,mm/s,normal
2026-06-15T08:21:50+00:00,LINE-C01,OVEN-002,temperature,68.15,°C,normal
2026-06-15T08:21:55+00:00,LINE-B02,PRESS-001,temperature,69.68,°C,normal
2026-06-15T08:22:00+00:00,LINE-C01,CONVEYOR-001,vibration,3.72,mm/s,warning
2026-06-15T08:22:05+00:00,LINE-B01,PRESS-002,pressure,228.03,kPa,normal
2026-06-15T08:22:10+00:00,LINE-C01,ROBOT-001,vibration,0.72,mm/s,normal
2026-06-15T08:22:15+00:00,LINE-A01,WELD-002,pressure,308.81,kPa,warning
2026-06-15T08:22:20+00:00,LINE-B02,OVEN-001,vibration,1.1,mm/s,normal
2026-06-15T08:22:25+00:00,LINE-A02,PRESS-002,pressure,166.61,kPa,normal
2026-06-15T08:22:30+00:00,LINE-A02,OVEN-002,pressure,206.12,kPa,normal
2026-06-15T08:22:35+00:00,LINE-A02,WELD-002,vibration,1.66,mm/s,normal
2026-06-15T08:22:40+00:00,LINE-C01,WELD-001,temperature,47.89,°C,normal
2026-06-15T08:22:45+00:00,LINE-B02,ROBOT-001,pressure,290.26,kPa,normal
2026-06-15T08:22:50+00:00,LINE-C01,OVEN-002,pressure,189.78,kPa,normal
2026-06-15T08:22:55+00:00,LINE-B02,ROBOT-001,pressure,187.95,kPa,normal
2026-06-15T08:23:00+00:00,LINE-A01,OVEN-002,pressure,154.93,kPa,normal
2026-06-15T08:23:05+00:00,LINE-A01,PRESS-001,pressure,192.35,kPa,normal
2026-06-15T08:23:10+00:00,LINE-A01,CONVEYOR-001,vibration,0.25,mm/s,normal
2026-06-15T08:23:15+00:00,LINE-A01,ROBOT-001,vibration,1.91,mm/s,normal
2026-06-15T08:23:20+00:00,LINE-B02,WELD-001,pressure,164.31,kPa,normal
2026-06-15T08:23:25+00:00,LINE-B01,PRESS-002,temperature,72.44,°C,normal
2026-06-15T08:23:30+00:00,LINE-B02,ROBOT-001,pressure,107.83,kPa,normal
2026-06-15T08:23:35+00:00,LINE-B01,OVEN-001,pressure,131.75,kPa,normal
2026-06-15T08:23:40+00:00,LINE-C01,PRESS-001,vibration,0.74,mm/s,normal
2026-06-15T08:23:45+00:00,LINE-A01,CONVEYOR-001,pressure,113.18,kPa,normal
2026-06-15T08:23:50+00:00,LINE-C01,WELD-001,vibration,1.72,mm/s,normal
2026-06-15T08:23:55+00:00,LINE-B01,OVEN-001,vibration,1.36,mm/s,normal
2026-06-15T08:24:00+00:00,LINE-C01,PRESS-002,pressure,178.39,kPa,normal
2026-06-15T08:24:05+00:00,LINE-B01,WELD-001,vibration,1.32,mm/s,normal
2026-06-15T08:24:10+00:00,LINE-C01,PRESS-002,pressure,289.42,kPa,normal
2026-06-15T08:24:15+00:00,LINE-A01,OVEN-002,pressure,201.7,kPa,normal
2026-06-15T08:24:20+00:00,LINE-B02,WELD-002,vibration,0.51,mm/s,normal
2026-06-15T08:24:25+00:00,LINE-B01,PRESS-002,temperature,94.65,°C,alarm
2026-06-15T08:24:30+00:00,LINE-C01,PRESS-001,pressure,267.02,kPa,normal
2026-06-15T08:24:35+00:00,LINE-A02,CONVEYOR-001,pressure,253.26,kPa,normal
2026-06-15T08:24:40+00:00,LINE-C01,WELD-001,temperature,73.25,°C,normal
2026-06-15T08:24:45+00:00,LINE-A02,ROBOT-001,pressure,182.17,kPa,normal
2026-06-15T08:24:50+00:00,LINE-B02,WELD-002,pressure,249.71,kPa,normal
2026-06-15T08:24:55+00:00,LINE-B02,WELD-002,pressure,293.12,kPa,normal
2026-06-15T08:25:00+00:00,LINE-B02,ROBOT-001,vibration,1.18,mm/s,normal
